Дата,Цена,Откр.,Макс.,Мин.,Объём,Изм. %
18.04.2025,"11,245","11,2524","11,2769","11,0369",,"-0,09%"
17.04.2025,"11,2547","11,3508","11,3606","11,1892",,"-0,91%"
16.04.2025,"11,3579","11,4056","11,4635","11,208",,"-0,53%"
15.04.2025,"11,4188","11,249","11,4253","11,1794",,"1,53%"
14.04.2025,"11,2465","11,395","11,5011","11,2408",,"-1,48%"
11.04.2025,"11,4151","11,4269","11,644","11,3988",,"0,01%"
10.04.2025,"11,4143","11,7197","11,9158","11,279",,"-2,61%"
09.04.2025,"11,7203","11,6866","11,8506","11,6431",,"0,20%"
08.04.2025,"11,6972","11,7434","11,7575","11,6126",,"-0,75%"
07.04.2025,"11,7859","11,5641","11,8431","11,5466",,"1,58%"
04.04.2025,"11,6021","11,5435","11,7755","11,5215",,"0,47%"
03.04.2025,"11,5473","11,5445","11,6006","11,498",,"-0,37%"
02.04.2025,"11,5902","11,6209","11,6909","11,5349",,"-0,27%"
01.04.2025,"11,6215","11,4317","11,7304","11,4204",,"1,63%"
31.03.2025,"11,4355","11,7049","11,9291","11,4369",,"-2,21%"
28.03.2025,"11,694","11,6343","11,7969","11,4779",,"0,56%"
27.03.2025,"11,6286","11,5735","11,6967","11,4946",,"0,54%"
26.03.2025,"11,5659","11,6547","11,6547","11,5143",,"-0,79%"
25.03.2025,"11,6576","11,5482","11,6701","11,4995",,"0,84%"
24.03.2025,"11,561","11,6427","11,6508","11,5087",,"-0,80%"
21.03.2025,"11,6547","11,7131","11,7222","11,4186",,"-0,51%"
20.03.2025,"11,7148","11,6218","11,8386","11,5393",,"0,86%"
19.03.2025,"11,6152","11,3044","11,6529","11,2972",,"2,72%"
18.03.2025,"11,3072","11,5412","11,6366","11,2145",,"-1,97%"
17.03.2025,"11,5341","11,8296","11,8643","11,5017",,"-2,33%"
14.03.2025,"11,8093","11,8961","12,0281","11,7907",,"-0,80%"
13.03.2025,"11,9043","12,0405","12,0541","11,5089",,"-1,12%"
12.03.2025,"12,0395","11,8601","12,048","11,8007",,"1,66%"
11.03.2025,"11,8426","12,0747","12,2702","11,7744",,"-1,86%"
10.03.2025,"12,0674","12,4257","12,4264","12,0524",,"-2,98%"
07.03.2025,"12,4377","12,2744","12,6471","12,0252",,"1,31%"
06.03.2025,"12,2773","12,4834","12,491","12,2796",,"-1,50%"
05.03.2025,"12,4639","12,351","12,4663","12,2715",,"0,93%"
04.03.2025,"12,3496","12,308","12,3519","12,2223",,"0,31%"
03.03.2025,"12,3113","12,2724","12,3538","12,1767",,"0,35%"
28.02.2025,"12,2681","12,0307","12,2875","12,0068",,"1,94%"
27.02.2025,"12,0345","11,9528","12,152","11,9037",,"0,64%"
26.02.2025,"11,9574","11,9418","11,9847","11,7653",,"0,15%"
25.02.2025,"11,9389","12,0858","12,1298","11,8647",,"-1,37%"
24.02.2025,"12,1047","12,2091","12,3426","12,1032",,"-0,80%"
21.02.2025,"12,2021","12,2205","12,3242","12,0294",,"-0,14%"
20.02.2025,"12,2186","12,3048","12,3322","12,1054",,"-0,69%"
19.02.2025,"12,3034","12,5756","12,5756","12,0439",,"-2,15%"
18.02.2025,"12,5739","12,5886","12,6896","12,4838",,"-0,16%"
17.02.2025,"12,5942","12,5724","12,7101","12,517",,"0,27%"
14.02.2025,"12,5597","12,2961","12,7157","12,2769",,"2,32%"
13.02.2025,"12,275","12,8624","12,9026","12,2088",,"-4,55%"
12.02.2025,"12,8597","13,2037","13,2059","12,7376",,"-2,61%"
11.02.2025,"13,2041","13,221","13,3111","13,0847",,"-0,16%"
10.02.2025,"13,225","13,2825","13,4253","13,2269",,"-0,61%"
07.02.2025,"13,3067","13,2756","13,4345","13,2702",,"0,27%"
06.02.2025,"13,2704","13,4658","13,4754","13,2355",,"-1,50%"
05.02.2025,"13,4729","13,8364","13,8364","13,389",,"-2,97%"
04.02.2025,"13,8852","13,7561","13,887","13,6264",,"0,95%"
03.02.2025,"13,7542","13,5851","13,8422","13,5851",,"1,19%"
31.01.2025,"13,5922","13,4954","13,6354","13,4609",,"0,08%"
30.01.2025,"13,5818","13,5575","13,6195","13,4424",,"-0,76%"
29.01.2025,"13,6853","13,5299","13,7733","13,4747",,"1,28%"
28.01.2025,"13,5129","13,3782","13,6079","13,3782",,"0,64%"
27.01.2025,"13,4267","13,4806","13,5479","13,323",,"-0,51%"
24.01.2025,"13,4955","13,7032","13,7804","13,4937",,"-1,50%"
23.01.2025,"13,7017","13,6461","13,7744","13,5213",,"0,42%"
22.01.2025,"13,6448","13,6833","13,6833","13,199",,"-0,26%"
21.01.2025,"13,6801","13,8897","14,0133","13,6205",,"-1,09%"
20.01.2025,"13,8303","13,9975","14,0207","13,8323",,"-1,15%"
17.01.2025,"13,9916","13,9751","14,0982","13,8505",,"0,13%"
16.01.2025,"13,9736","13,9818","14,1339","13,9566",,"-0,05%"
15.01.2025,"13,9802","14,01","14,1165","13,9132",,"-0,20%"
14.01.2025,"14,0086","14,0166","14,1179","13,805",,"-0,03%"
13.01.2025,"14,0133","13,8795","14,0549","13,8521",,"0,99%"
10.01.2025,"13,8756","13,9484","14,0144","13,8011",,"-0,50%"
09.01.2025,"13,9447","14,2551","14,2573","13,8604",,"-2,16%"
08.01.2025,"14,2526","14,6337","14,6337","14,2362",,"-2,63%"
07.01.2025,"14,638","14,6706","14,6728","14,531",,"-0,29%"
06.01.2025,"14,68","15,1006","15,1006","14,5192",,"-2,73%"
03.01.2025,"15,0923","15,2079","15,3063","15,0942",,"-0,75%"
02.01.2025,"15,2059","15,5517","15,7546","15,0696",,"-2,19%"
01.01.2025,"15,5458","15,5476","15,5476","15,5476",,"-0,02%"
31.12.2024,"15,5486","15,1417","15,5493","14,3884",,"2,72%"
30.12.2024,"15,1376","14,4909","15,2069","14,2083",,"4,48%"
27.12.2024,"14,4879","13,7034","14,6588","13,6607",,"5,74%"
26.12.2024,"13,7018","13,6356","13,7441","13,5574",,"0,51%"
25.12.2024,"13,6324","13,7056","13,7309","13,6191",,"-0,53%"
24.12.2024,"13,7055","13,8694","13,8701","13,6323",,"-1,18%"
23.12.2024,"13,8687","14,1244","14,1244","13,6829",,"-1,74%"
20.12.2024,"14,1148","14,1839","14,2829","13,982",,"-0,48%"
19.12.2024,"14,1823","14,3462","14,3469","13,9056",,"-1,26%"
18.12.2024,"14,364","14,3612","14,4682","14,0392",,"0,04%"
17.12.2024,"14,358","14,2199","14,3775","13,9427",,"0,96%"
16.12.2024,"14,2218","14,3654","14,3687","14,0076",,"-0,96%"
13.12.2024,"14,3599","14,4362","14,4365","14,0134",,"-0,55%"
12.12.2024,"14,4393","14,5341","14,6065","14,17",,"-0,59%"
11.12.2024,"14,5251","14,2174","14,972","13,9955",,"2,21%"
10.12.2024,"14,2116","13,7743","14,213","13,743",,"3,19%"
09.12.2024,"13,7716","13,8242","13,8623","13,5951",,"-0,39%"
06.12.2024,"13,8251","13,9073","14,0569","13,5613",,"-0,60%"
05.12.2024,"13,9089","14,4476","14,4518","13,4656",,"-3,73%"
04.12.2024,"14,4485","14,4223","14,5837","14,1604",,"0,28%"
03.12.2024,"14,4088","14,618","14,7789","14,2837",,"-1,60%"
